term,estimate,std.error,statistic,p.value,conf.low,conf.high
(Intercept),0,1.0000000000000002e-6,0,1,-2.0210753903062735e-6,2.0210753903062735e-6
gdp_g,0.9999999999999858,1.0000000000000002e-6,999999.9999999856,1.3784652871242316e-209,0.9999979789245955,1.0000020210753762
