term,estimate,std.error,statistic,p.value,conf.low,conf.high
fit_gdp_g,-1.151261262938478,1.4590559484444676,-0.7890453167103452,0.43473763429708645,-4.10012333341957,1.7976008075426142
fit_gdp_g_l,-2.61909738931623,1.2279807912980216,-2.132848826200079,0.03912531860175762,-5.100939146377485,-0.13725563225497472
polity2l,-0.0016070524288912865,0.005507908709080285,-0.2917717982946804,0.7719689974479127,-0.012738951172867044,0.00952484631508447
oil,-0.09721047716197065,0.1250112557944831,-0.7776137960071645,0.44137189251417575,-0.3498676497594829,0.15544669543554165
lpopl1,-0.31746854193335405,1.1361369053032306,-0.27942806932112013,0.781356139091104,-2.6136868812604424,1.9787497973937342
