ccode,year_actual,any_prio,gdp_g,gdp_g_l,gpcp_g,gpcp_g_l,y_0,polity2l,ethfrac,relfrac,oil,lmtnest,lpopl1
404,1981,0,0.21656057238578796,-0.15287771821022034,0.170644149184227,-0.04880325123667717,0.5559999942779541,-7,0.8037569522857666,0.5449999570846558,0,0,6.695798873901367
404,1982,0,0.10471204668283463,0.21656057238578796,0.023161817342042923,0.170644149184227,0.5559999942779541,-7,0.8037569522857666,0.5449999570846558,0,0,6.714170455932617
404,1983,0,-0.042654044926166534,0.10471204668283463,-0.215036541223526,0.023161817342042923,0.5559999942779541,-7,0.8037569522857666,0.5449999570846558,0,0,6.732210636138916
404,1984,0,0.03465341404080391,-0.042654044926166534,0.09845955669879913,-0.215036541223526,0.5559999942779541,-7,0.8037569522857666,0.5449999570846558,0,0,6.749931335449219
404,1985,0,0.0366826206445694,0.03465341404080391,0.018551833927631378,0.09845955669879913,0.5559999942779541,-8,0.8037569522857666,0.5449999570846558,0,0,6.768493175506592
404,1986,0,-0.03538462147116661,0.0366826206445694,0.054580722004175186,0.018551833927631378,0.5559999942779541,-8,0.8037569522857666,0.5449999570846558,0,0,6.786716938018799
404,1987,0,0,-0.03538462147116661,0.20524469017982483,0.054580722004175186,0.5559999942779541,-8,0.8037569522857666,0.5449999570846558,0,0,6.805722713470459
404,1988,0,0.04306221753358841,0,0.09690031409263611,0.20524469017982483,0.5559999942779541,-8,0.8037569522857666,0.5449999570846558,0,0,6.825459957122803
404,1989,0,0.06727833300828934,0.04306221753358841,-0.010923752561211586,0.09690031409263611,0.5559999942779541,-8,0.8037569522857666,0.5449999570846558,0,0,6.844815254211426
404,1990,0,-0.012893986888229847,0.06727833300828934,-0.21970123052597046,-0.010923752561211586,0.5559999942779541,-8,0.8037569522857666,0.5449999570846558,0,0,6.865890979766846
404,1991,0,-0.1393323838710785,-0.012893986888229847,0.17590197920799255,-0.21970123052597046,0.5559999942779541,-6,0.8037569522857666,0.5449999570846558,0,0,6.887552738189697
404,1992,0,0.0691399797797203,-0.1393323838710785,-0.07603174448013306,0.17590197920799255,0.5559999942779541,-6,0.8037569522857666,0.5449999570846558,0,0,6.908754825592041
404,1993,0,-0.0011880502570420504,0.0691399797797203,0.22138440608978271,-0.07603174448013306,0.5559999942779541,-6,0.8037569522857666,0.5449999570846558,0,0,6.929516792297363
404,1994,0,0.008535893633961678,-0.0011880502570420504,-0.12570615112781525,0.22138440608978271,0.5559999942779541,-6,0.8037569522857666,0.5449999570846558,0,0,6.942050457000732
404,1995,0,0.01905321329832077,0.008535893633961678,0.011130991391837597,-0.12570615112781525,0.5559999942779541,5,0.8037569522857666,0.5449999570846558,0,0,6.965439319610596
404,1996,0,0.021861791610717773,0.01905321329832077,0.009940666146576405,0.011130991391837597,0.5559999942779541,5,0.8037569522857666,0.5449999570846558,0,0,6.990256309509277
404,1997,0,0.031022602692246437,0.021861791610717773,-0.022376351058483124,0.009940666146576405,0.5559999942779541,5,0.8037569522857666,0.5449999570846558,0,0,7.013843536376953
404,1998,1,-0.2964378595352173,0.031022602692246437,-0.07072976231575012,-0.022376351058483124,0.5559999942779541,5,0.8037569522857666,0.5449999570846558,0,0,7.036201477050781
404,1999,1,0.056630101054906845,-0.2964378595352173,0.21759049594402313,-0.07072976231575012,0.5559999942779541,0,0.8037569522857666,0.5449999570846558,0,0,7.057321071624756
420,1981,1,-0.125860333442688,-0.013579105958342552,0.26019328832626343,-0.19194486737251282,1.031000018119812,8,0.727814793586731,0.1818000078201294,0,0,6.4520487785339355
420,1982,0,-0.01912263222038746,-0.125860333442688,-0.11188112199306488,0.26019328832626343,1.031000018119812,7,0.727814793586731,0.1818000078201294,0,0,6.486160755157471
420,1983,0,-0.17316509783267975,-0.01912263222038746,-0.22891896963119507,-0.11188112199306488,1.031000018119812,7,0.727814793586731,0.1818000078201294,0,0,6.5191473960876465
420,1984,0,0.11095698177814484,-0.17316509783267975,0.15477700531482697,-0.22891896963119507,1.031000018119812,7,0.727814793586731,0.1818000078201294,0,0,6.5525078773498535
420,1985,0,-0.03995006904006004,0.11095698177814484,0.10649745166301727,0.15477700531482697,1.031000018119812,7,0.727814793586731,0.1818000078201294,0,0,6.58479118347168
420,1986,0,0.09622886776924133,-0.03995006904006004,0.25649866461753845,0.10649745166301727,1.031000018119812,7,0.727814793586731,0.1818000078201294,0,0,6.617403030395508
420,1987,0,0.011862385086715221,0.09622886776924133,0.019414380192756653,0.25649866461753845,1.031000018119812,7,0.727814793586731,0.1818000078201294,0,0,6.648984432220459
420,1988,0,-0.05744427442550659,0.011862385086715221,0.14833520352840424,0.019414380192756653,1.031000018119812,7,0.727814793586731,0.1818000078201294,0,0,6.680854797363281
420,1989,0,0.004975134506821632,-0.05744427442550659,-0.08798131346702576,0.14833520352840424,1.031000018119812,7,0.727814793586731,0.1818000078201294,0,0,6.712956428527832
420,1990,0,-0.011138617992401123,0.004975134506821632,-0.23776111006736755,-0.08798131346702576,1.031000018119812,7,0.727814793586731,0.1818000078201294,0,0,6.744059085845947
420,1991,0,-0.013032081536948681,-0.011138617992401123,0.022939002141356468,-0.23776111006736755,1.031000018119812,8,0.727814793586731,0.1818000078201294,0,0,6.774223804473877
420,1992,0,-0.00797833502292633,-0.013032081536948681,0.05837412178516388,0.022939002141356468,1.031000018119812,8,0.727814793586731,0.1818000078201294,0,0,6.784457206726074
420,1993,0,-0.008393825963139534,-0.00797833502292633,0.07241654396057129,0.05837412178516388,1.031000018119812,8,0.727814793586731,0.1818000078201294,0,0,6.790097236633301
420,1994,0,-0.032121218740940094,-0.008393825963139534,0.17620253562927246,0.07241654396057129,1.031000018119812,8,0.727814793586731,0.1818000078201294,0,0,6.946533679962158
420,1995,0,-0.02260293811559677,-0.032121218740940094,-0.1866869181394577,0.17620253562927246,1.031000018119812,-7,0.727814793586731,0.1818000078201294,0,0,6.9812750816345215
420,1996,0,-0.008846904151141644,-0.02260293811559677,0.02206016145646572,-0.1866869181394577,1.031000018119812,-7,0.727814793586731,0.1818000078201294,0,0,7.0130157470703125
420,1997,0,0.017218537628650665,-0.008846904151141644,-0.06792577356100082,0.02206016145646572,1.031000018119812,-6,0.727814793586731,0.1818000078201294,0,0,7.043928146362305
420,1998,0,0.01811434142291546,0.017218537628650665,0.0021845181472599506,-0.06792577356100082,1.031000018119812,-5,0.727814793586731,0.1818000078201294,0,0,7.074015140533447
420,1999,0,0.034760575741529465,0.01811434142291546,0.21728992462158203,0.0021845181472599506,1.031000018119812,-5,0.727814793586731,0.1818000078201294,0,0,7.103272438049316
432,1981,0,-0.03759394958615303,-0.034482747316360474,-0.05856148898601532,0.026990484446287155,0.5509999990463257,-7,0.7783107161521912,0.1818000078201294,0,0.3364722430706024,8.79330825805664
432,1982,0,0.02343742921948433,-0.03759394958615303,-0.17229154706001282,-0.05856148898601532,0.5509999990463257,-7,0.7783107161521912,0.1818000078201294,0,0.3364722430706024,8.814776420593262
432,1983,0,-0.040076274424791336,0.02343742921948433,-0.08349652588367462,-0.17229154706001282,0.5509999990463257,-7,0.7783107161521912,0.1818000078201294,0,0.3364722430706024,8.836810111999512
432,1984,0,0.005964137613773346,-0.040076274424791336,-3.477707505226135e-4,-0.08349652588367462,0.5509999990463257,-7,0.7783107161521912,0.1818000078201294,0,0.3364722430706024,8.859505653381348
432,1985,0,0.05138344690203667,0.005964137613773346,0.197707399725914,-3.477707505226135e-4,0.5509999990463257,-7,0.7783107161521912,0.1818000078201294,0,0.3364722430706024,8.8832244873046875
432,1986,0,0.03383459895849228,0.05138344690203667,0.050527457147836685,0.197707399725914,0.5509999990463257,-7,0.7783107161521912,0.1818000078201294,0,0.3364722430706024,8.907747268676758
432,1987,0,-0.03636370971798897,0.03383459895849228,-0.15952517092227936,0.050527457147836685,0.5509999990463257,-7,0.7783107161521912,0.1818000078201294,0,0.3364722430706024,8.933136940002441
432,1988,0,-0.02641509287059307,-0.03636370971798897,0.3499492406845093,-0.15952517092227936,0.5509999990463257,-7,0.7783107161521912,0.1818000078201294,0,0.3364722430706024,8.959311485290527
432,1989,0,0.07751942425966263,-0.02641509287059307,-0.08319269120693207,0.3499492406845093,0.5509999990463257,-7,0.7783107161521912,0.1818000078201294,0,0.3364722430706024,8.986446380615234
432,1990,1,-0.044963985681533813,0.07751942425966263,-0.21237708628177643,-0.08319269120693207,0.5509999990463257,-7,0.7783107161521912,0.1818000078201294,0,0.3364722430706024,9.014325141906738
432,1991,0,-0.06779663264751434,-0.044963985681533813,0.2286686897277832,-0.21237708628177643,0.5509999990463257,-7,0.7783107161521912,0.1818000078201294,0,0.3364722430706024,9.04310417175293
