diagnostico,estatistica,p_value,gl_num,gl_den
ivf1::gdp_g,6.39948551899181,0.0017619115236459908,2,696
ivf1::gdp_g_l,5.138218468561999,0.006092755226511304,2,696
ivf2,2.870926552518301,0.05731751592547962,2,696
