term,estimate,std.error,statistic,p.value,conf.low,conf.high
gdp_g,-0.1737422310766307,0.14425351869254366,-1.204422828998287,0.23550463695486,-0.4652894676712167,0.11780500551795528
gdp_g_l,0.09915782004579723,0.16825989295158536,0.5893134620876564,0.558964980305821,-0.2409081087742199,0.4392237488658144
polity2l,3.500341632098246e-4,0.004395936354226316,0.07962675867072024,0.9369311577508818,-0.008534484619669663,0.009234552946089313
oil,0.06796011198824539,0.04411663332656504,1.5404646017565191,0.13132170758430123,-0.021202929931240788,0.15712315390773157
lpopl1,0.8055130945045812,0.7076883947029193,1.1382313183795076,0.2617955980287537,-0.6247785040348415,2.235804693044004
