term,estimate,std.error,statistic,p.value,conf.low,conf.high
gpcp_g,-0.020645683970439498,0.042029862582770965,-0.4912146436306135,0.6259591558682209,-0.10559120489443236,0.06429983695355335
gpcp_g_l,-0.11382224908738202,0.05046377743934458,-2.255523761061917,0.029640232146268004,-0.21581334777193428,-0.011831150402829754
polity2l,4.680175306669255e-4,0.004461407733154048,0.10490355481050254,0.9169766171449483,-0.008548823844932817,0.009484858906266666
oil,0.06858745753465142,0.03706833610679359,1.850297713311207,0.07166683016188227,-0.006330444330390553,0.1435053593996934
lpopl1,0.7553048727058034,0.7029977937381388,1.0744057512464238,0.2890794655960017,-0.6655066676579544,2.176116413069561
