"code","rmspe_pre","rmspe_post","rmspe_ratio"
11,7.15410654311027,9.09620658943427,1.27146646958932
12,3.91943205173987,9.96069072436303,2.5413607361662
13,1.01178181383404,2.37320088903015,2.34556586863047
14,6.74554254586846,12.2006645585764,1.80870026029991
15,1.06377270427902,8.68113952963482,8.16070904500086
16,11.2209161202253,8.11668792844217,0.723353409068991
17,1.59107465195194,2.89791961744429,1.8213599304653
21,1.39322408698977,2.28448421853273,1.63971053893321
22,3.24450764132467,3.98404429968081,1.2279349411716
23,1.18133428633688,2.13212657268769,1.80484609424065
24,0.557766662098193,3.88821984796191,6.97105100067348
25,1.54875275683005,3.75045567685846,2.42159741786986
26,3.49966206374524,7.00700515252295,2.00219479049479
27,4.05765473479966,15.0133876742814,3.70001605743389
31,0.364763355777909,5.43244837358559,14.8930759834692
32,3.04432589524573,6.6480680768081,2.18375703047767
33,11.6707416054521,10.4793880986863,0.897919639810274
41,0.59061827618709,5.74432919524639,9.72595909549328
42,0.968310786434149,6.57790267249648,6.79317298190999
43,1.84690527860002,1.6141837794253,0.873993809064682
50,3.16470937903558,5.81955149494201,1.83888970453125
51,4.40823467267045,9.03034572047535,2.04851746583738
52,2.5529571940864,2.026876692766,0.793932893767669
53,1.71003246761123,4.33849163634538,2.53708144056813
35,1.63111752566783,10.7960912130852,6.61883098133284
